;;Category;Subcategory;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units
SPACE_COOLING;SI;Cold;space cooling;1062.42;1429.89;430.77;0.0;[GWh]
SPACE_COOLING;SK;Cold;space cooling;376.99;1123.01;0.0;0.0;[GWh]
SPACE_COOLING;GB;Cold;space cooling;509.7;8490.3;1000.0;0.0;[GWh]
MOBILITY_PASSENGER;AL;Mobility;passenger;0.0;0.0;0.0;45000.0;[Mpkm]
MOBILITY_PASSENGER;AT;Mobility;passenger;0.0;0.0;0.0;135000.0;[Mpkm]
MOBILITY_PASSENGER;BA;Mobility;passenger;0.0;0.0;0.0;45000.0;[Mpkm]
MOBILITY_PASSENGER;BE;Mobility;passenger;0.0;0.0;0.0;151204.0;[Mpkm] 
MOBILITY_PASSENGER;BG;Mobility;passenger;0.0;0.0;0.0;88000.0;[Mpkm]
MOBILITY_PASSENGER;CH;Mobility;passenger;0.0;0.0;0.0;146049.0;[Mpkm]
MOBILITY_PASSENGER;CZ;Mobility;passenger;0.0;0.0;0.0;155000.0;[Mpkm]
MOBILITY_PASSENGER;DE;Mobility;passenger;0.0;0.0;0.0;1295000.0;[Mpkm]
MOBILITY_PASSENGER;DK;Mobility;passenger;0.0;0.0;0.0;102000.0;[Mpkm]
MOBILITY_PASSENGER;EE;Mobility;passenger;0.0;0.0;0.0;18000.0;[Mpkm]
MOBILITY_PASSENGER;GR;Mobility;passenger;0.0;0.0;0.0;193000.0;[Mpkm]
MOBILITY_PASSENGER;ES;Mobility;passenger;0.0;0.0;0.0;766000.0;[Mpkm]
MOBILITY_PASSENGER;FI;Mobility;passenger;0.0;0.0;0.0;107000.0;[Mpkm]
MOBILITY_PASSENGER;FR;Mobility;passenger;0.0;0.0;0.0;1436000.0;[Mpkm]
MOBILITY_PASSENGER;HR;Mobility;passenger;0.0;0.0;0.0;45000.0;[Mpkm]
MOBILITY_PASSENGER;HU;Mobility;passenger;0.0;0.0;0.0;119000.0;[Mpkm]
MOBILITY_PASSENGER;IE;Mobility;passenger;0.0;0.0;0.0;97000.0;[Mpkm]
MOBILITY_PASSENGER;IT;Mobility;passenger;0.0;0.0;0.0;1123000.0;[Mpkm]
MOBILITY_PASSENGER;LT;Mobility;passenger;0.0;0.0;0.0;45000.0;[Mpkm]
MOBILITY_PASSENGER;LU;Mobility;passenger;0.0;0.0;0.0;14000.0;[Mpkm]
MOBILITY_PASSENGER;LV;Mobility;passenger;0.0;0.0;0.0;23000.0;[Mpkm]
MOBILITY_PASSENGER;ME;Mobility;passenger;0.0;0.0;0.0;45000.0;[Mpkm]
MOBILITY_PASSENGER;MK;Mobility;passenger;0.0;0.0;0.0;45000.0;[Mpkm]
MOBILITY_PASSENGER;NL;Mobility;passenger;0.0;0.0;0.0;222000.0;[Mpkm]
MOBILITY_PASSENGER;NO;Mobility;passenger;0.0;0.0;0.0;194000.0;[Mpkm]
MOBILITY_PASSENGER;PL;Mobility;passenger;0.0;0.0;0.0;438000.0;[Mpkm]
MOBILITY_PASSENGER;PT;Mobility;passenger;0.0;0.0;0.0;150000.0;[Mpkm]
MOBILITY_PASSENGER;RO;Mobility;passenger;0.0;0.0;0.0;173000.0;[Mpkm]
MOBILITY_PASSENGER;RS;Mobility;passenger;0.0;0.0;0.0;45000.0;[Mpkm]
MOBILITY_PASSENGER;SE;Mobility;passenger;0.0;0.0;0.0;194000.0;[Mpkm]
MOBILITY_PASSENGER;SI;Mobility;passenger;0.0;0.0;0.0;38000.0;[Mpkm]
MOBILITY_PASSENGER;SK;Mobility;passenger;0.0;0.0;0.0;62000.0;[Mpkm]
MOBILITY_PASSENGER;GB;Mobility;passenger;0.0;0.0;0.0;1057000.0;[Mpkm]
MOBILITY_FREIGHT;AL;Mobility;freight;0.0;0.0;0.0;17000.0;[Mtkm]
MOBILITY_FREIGHT;AT;Mobility;freight;0.0;0.0;0.0;84000.0;[Mtkm]
MOBILITY_FREIGHT;BA;Mobility;freight;0.0;0.0;0.0;17000.0;[Mtkm]
MOBILITY_FREIGHT;BE;Mobility;freight;0.0;0.0;0.0;84701.5;[Mtkm] 
MOBILITY_FREIGHT;BG;Mobility;freight;0.0;0.0;0.0;28000.0;[Mtkm]
MOBILITY_FREIGHT;CH;Mobility;freight;0.0;0.0;0.0;39967.0;[Mtkm]
MOBILITY_FREIGHT;CZ;Mobility;freight;0.0;0.0;0.0;68000.0;[Mtkm]
MOBILITY_FREIGHT;DE;Mobility;freight;0.0;0.0;0.0;790000.0;[Mtkm]
MOBILITY_FREIGHT;DK;Mobility;freight;0.0;0.0;0.0;35000.0;[Mtkm]
MOBILITY_FREIGHT;EE;Mobility;freight;0.0;0.0;0.0;14000.0;[Mtkm]
MOBILITY_FREIGHT;GR;Mobility;freight;0.0;0.0;0.0;44000.0;[Mtkm]
MOBILITY_FREIGHT;ES;Mobility;freight;0.0;0.0;0.0;298000.0;[Mtkm]
MOBILITY_FREIGHT;FI;Mobility;freight;0.0;0.0;0.0;55000.0;[Mtkm]
MOBILITY_FREIGHT;FR;Mobility;freight;0.0;0.0;0.0;608000.0;[Mtkm]
MOBILITY_FREIGHT;HR;Mobility;freight;0.0;0.0;0.0;17000.0;[Mtkm]
MOBILITY_FREIGHT;HU;Mobility;freight;0.0;0.0;0.0;48000.0;[Mtkm]
MOBILITY_FREIGHT;IE;Mobility;freight;0.0;0.0;0.0;19000.0;[Mtkm]
MOBILITY_FREIGHT;IT;Mobility;freight;0.0;0.0;0.0;337000.0;[Mtkm]
MOBILITY_FREIGHT;LT;Mobility;freight;0.0;0.0;0.0;28000.0;[Mtkm]
