unit	tra_meas	partner	geo\time	2019
PAS	PAS_BRD	IE	BE	507818
PAS	PAS_BRD	IE	BG	110207
PAS	PAS_BRD	IE	CY	36419
PAS	PAS_BRD	IE	CZ	211701
PAS	PAS_BRD	IE	DE	2513748
PAS	PAS_BRD	IE	DK	272798
PAS	PAS_BRD	IE	EE	21049
PAS	PAS_BRD	IE	GR	203038
PAS	PAS_BRD	IE	ES	4669322
PAS	PAS_BRD	IE	EU27_2007	30973420
PAS	PAS_BRD	IE	EU27_2020	18048698
PAS	PAS_BRD	IE	EU28	31208872
PAS	PAS_BRD	IE	FI	118902
PAS	PAS_BRD	IE	FR	2057946
PAS	PAS_BRD	IE	HR	235452
PAS	PAS_BRD	IE	HU	285561
PAS	PAS_BRD	IE	IT	1609512
PAS	PAS_BRD	IE	LT	171587
PAS	PAS_BRD	IE	LU	90944
PAS	PAS_BRD	IE	LV	151332
PAS	PAS_BRD	IE	MT	105621
PAS	PAS_BRD	IE	NL	1481721
PAS	PAS_BRD	IE	PL	1026214
PAS	PAS_BRD	IE	PT	1371820
PAS	PAS_BRD	IE	RO	237177
PAS	PAS_BRD	IE	SE	172858
PAS	PAS_BRD	IE	SI	96
PAS	PAS_BRD	IE	SK	125378
PAS	PAS_BRD	IE	UK	13160174
PAS	PAS_BRD	IT	AT	2052656
PAS	PAS_BRD	IT	BE	3544631
PAS	PAS_BRD	IT	BG	697608
PAS	PAS_BRD	IT	CY	118317
PAS	PAS_BRD	IT	CZ	1508750
PAS	PAS_BRD	IT	DE	15147410
PAS	PAS_BRD	IT	DK	1504006
PAS	PAS_BRD	IT	EE	88014
PAS	PAS_BRD	IT	GR	3780004
PAS	PAS_BRD	IT	ES	16289828
PAS	PAS_BRD	IT	EU27_2007	93860966
PAS	PAS_BRD	IT	EU27_2020	78197170
PAS	PAS_BRD	IT	EU28	94251017
PAS	PAS_BRD	IT	FI	593776
PAS	PAS_BRD	IT	FR	11874678
PAS	PAS_BRD	IT	HR	390051
PAS	PAS_BRD	IT	HU	1455033
PAS	PAS_BRD	IT	IE	1610917
PAS	PAS_BRD	IT	LT	391547
PAS	PAS_BRD	IT	LU	410232
PAS	PAS_BRD	IT	LV	274218
PAS	PAS_BRD	IT	MT	1441981
PAS	PAS_BRD	IT	NL	5048234
PAS	PAS_BRD	IT	PL	2736073
PAS	PAS_BRD	IT	PT	2540983
PAS	PAS_BRD	IT	RO	3627397
PAS	PAS_BRD	IT	SE	850750
PAS	PAS_BRD	IT	SI	1985
